Date,Value,Classification
2024-04-08,42,Fear
2024-04-09,41,Fear
2024-04-10,36,Fear
2024-04-11,34,Fear
2024-04-12,34,Fear
2024-04-13,31,Fear
2024-04-14,31,Fear
2024-04-15,33,Fear
2024-04-16,41,Fear
2024-04-17,42,Fear
2024-04-18,43,Fear
2024-04-19,43,Fear
2024-04-20,36,Fear
2024-04-21,36,Fear
2024-04-22,37,Fear
2024-04-23,47,Neutral
2024-04-24,46,Neutral
2024-04-25,48,Neutral
2024-04-26,48,Neutral
2024-04-27,43,Fear
2024-04-28,48,Neutral
2024-04-29,51,Neutral
2024-04-30,54,Neutral
2024-05-01,50,Neutral
2024-05-02,56,Greed
2024-05-03,50,Neutral
2024-05-04,52,Neutral
2024-05-05,61,Greed
2024-05-06,57,Greed
2024-05-07,54,Neutral
2024-05-08,55,Neutral
2024-05-09,52,Neutral
2024-05-10,46,Neutral
2024-05-11,47,Neutral
2024-05-12,42,Fear
2024-05-13,44,Fear
2024-05-14,41,Fear
2024-05-15,47,Neutral
2024-05-16,44,Fear
2024-05-17,43,Fear
2024-05-18,47,Neutral
2024-05-19,42,Fear
2024-05-20,43,Fear
2024-05-21,48,Neutral
2024-05-22,42,Fear
2024-05-23,43,Fear
2024-05-24,44,Fear
2024-05-25,48,Neutral
2024-05-26,43,Fear
2024-05-27,38,Fear
2024-05-28,40,Fear
2024-05-29,42,Fear
2024-05-30,43,Fear
2024-05-31,44,Fear
2024-06-01,42,Fear
2024-06-02,43,Fear
2024-06-03,44,Fear
2024-06-04,42,Fear
2024-06-05,49,Neutral
2024-06-06,51,Neutral
2024-06-07,47,Neutral
2024-06-08,49,Neutral
2024-06-09,45,Neutral
2024-06-10,49,Neutral
2024-06-11,53,Neutral
2024-06-12,50,Neutral
2024-06-13,54,Neutral
2024-06-14,55,Greed
2024-06-15,59,Greed
2024-06-16,66,Greed
2024-06-17,64,Greed
2024-06-18,61,Greed
2024-06-19,57,Greed
2024-06-20,54,Neutral
2024-06-21,53,Neutral
2024-06-22,54,Neutral
2024-06-23,55,Greed
2024-06-24,59,Greed
2024-06-25,58,Greed
2024-06-26,64,Greed
2024-06-27,62,Greed
2024-06-28,73,Greed
2024-06-29,75,Greed
2024-06-30,71,Greed
2024-07-01,66,Greed
2024-07-02,67,Greed
2024-07-03,66,Greed
2024-07-04,68,Greed
2024-07-05,69,Greed
2024-07-06,69,Greed
2024-07-07,65,Greed
2024-07-08,58,Greed
2024-07-09,56,Greed
2024-07-10,59,Greed
2024-07-11,60,Greed
2024-07-12,55,Neutral
2024-07-13,55,Greed
2024-07-14,57,Greed
2024-07-15,53,Neutral
2024-07-16,53,Neutral
2024-07-17,54,Neutral
2024-07-18,49,Neutral
2024-07-19,50,Neutral
2024-07-20,53,Neutral
2024-07-21,57,Greed
2024-07-22,61,Greed
2024-07-23,55,Neutral
2024-07-24,51,Neutral
2024-07-25,53,Neutral
2024-07-26,55,Greed
2024-07-27,57,Greed
2024-07-28,72,Greed
2024-07-29,74,Greed
2024-07-30,78,Extreme Greed
2024-07-31,81,Extreme Greed
2024-08-01,82,Extreme Greed
2024-08-02,80,Extreme Greed
2024-08-03,82,Extreme Greed
2024-08-04,78,Extreme Greed
2024-08-05,76,Extreme Greed
2024-08-06,74,Greed
2024-08-07,73,Greed
2024-08-08,82,Extreme Greed
2024-08-09,73,Greed
2024-08-10,75,Extreme Greed
2024-08-11,68,Greed
2024-08-12,66,Greed
2024-08-13,70,Greed
2024-08-14,69,Greed
2024-08-15,64,Greed
2024-08-16,61,Greed
2024-08-17,64,Greed
2024-08-18,60,Greed
2024-08-19,61,Greed
2024-08-20,61,Greed
2024-08-21,58,Greed
2024-08-22,66,Greed
2024-08-23,68,Greed
2024-08-24,59,Greed
2024-08-25,60,Greed
2024-08-26,57,Greed
2024-08-27,60,Greed
2024-08-28,57,Greed
2024-08-29,56,Greed
2024-08-30,58,Greed
2024-08-31,61,Greed
2024-09-01,56,Greed
2024-09-02,54,Neutral
2024-09-03,52,Neutral
2024-09-04,50,Neutral
2024-09-05,57,Greed
2024-09-06,58,Greed
2024-09-07,53,Neutral
2024-09-08,57,Greed
2024-09-09,65,Greed
2024-09-10,68,Greed
2024-09-11,62,Greed
2024-09-12,60,Greed
2024-09-13,64,Greed
2024-09-14,61,Greed
2024-09-15,63,Greed
2024-09-16,65,Greed
2024-09-17,61,Greed
2024-09-18,61,Greed
2024-09-19,47,Neutral
2024-09-20,43,Fear
2024-09-21,42,Fear
2024-09-22,38,Fear
2024-09-23,45,Fear
2024-09-24,39,Fear
2024-09-25,38,Fear
2024-09-26,38,Fear
2024-09-27,45,Fear
2024-09-28,39,Fear
2024-09-29,44,Fear
2024-09-30,44,Fear
2024-10-01,40,Fear
2024-10-02,43,Fear
2024-10-03,44,Fear
2024-10-04,41,Fear
2024-10-05,42,Fear
2024-10-06,41,Fear
2024-10-07,41,Fear
2024-10-08,44,Fear
2024-10-09,51,Neutral
2024-10-10,46,Neutral
2024-10-11,54,Neutral
2024-10-12,47,Neutral
2024-10-13,46,Neutral
2024-10-14,48,Neutral
2024-10-15,50,Neutral
2024-10-16,47,Neutral
2024-10-17,46,Neutral
2024-10-18,45,Fear
2024-10-19,42,Fear
2024-10-20,46,Neutral
2024-10-21,48,Neutral
2024-10-22,45,Fear
2024-10-23,49,Neutral
2024-10-24,50,Neutral
2024-10-25,53,Neutral
2024-10-26,56,Greed
2024-10-27,52,Neutral
2024-10-28,50,Neutral
2024-10-29,53,Neutral
2024-10-30,55,Greed
2024-10-31,55,Neutral
2024-11-01,55,Greed
2024-11-02,60,Greed
2024-11-03,57,Greed
2024-11-04,59,Greed
2024-11-05,58,Greed
2024-11-06,57,Greed
2024-11-07,61,Greed
2024-11-08,64,Greed
2024-11-09,67,Greed
2024-11-10,72,Greed
2024-11-11,71,Greed
2024-11-12,73,Greed
2024-11-13,71,Greed
2024-11-14,72,Greed
2024-11-15,71,Greed
2024-11-16,71,Greed
2024-11-17,72,Greed
2024-11-18,69,Greed
2024-11-19,76,Extreme Greed
2024-11-20,72,Greed
2024-11-21,66,Greed
2024-11-22,70,Greed
2024-11-23,73,Greed
2024-11-24,75,Greed
2024-11-25,76,Extreme Greed
2024-11-26,75,Extreme Greed
2024-11-27,71,Greed
2024-11-28,71,Greed
2024-11-29,67,Greed
2024-11-30,71,Greed
2024-12-01,70,Greed
2024-12-02,66,Greed
2024-12-03,64,Greed
2024-12-04,65,Greed
2024-12-05,63,Greed
2024-12-06,59,Greed
2024-12-07,60,Greed
2024-12-08,60,Greed
2024-12-09,58,Greed
2024-12-10,56,Greed
2024-12-11,57,Greed
2024-12-12,51,Neutral
2024-12-13,45,Fear
2024-12-14,42,Fear
2024-12-15,42,Fear
2024-12-16,43,Fear
2024-12-17,49,Neutral
2024-12-18,53,Neutral
2024-12-19,52,Neutral
2024-12-20,52,Neutral
2024-12-21,48,Neutral
2024-12-22,48,Neutral
2024-12-23,47,Neutral
2024-12-24,48,Neutral
2024-12-25,45,Fear
2024-12-26,47,Neutral
2024-12-27,53,Neutral
2024-12-28,53,Neutral
2024-12-29,54,Neutral
2024-12-30,57,Greed
2024-12-31,55,Greed
2025-01-01,56,Greed
2025-01-02,56,Greed
2025-01-03,56,Greed
2025-01-04,53,Neutral
2025-01-05,53,Neutral
2025-01-06,55,Neutral
2025-01-07,60,Greed
2025-01-08,64,Greed
2025-01-09,72,Greed
2025-01-10,68,Greed
2025-01-11,71,Greed
2025-01-12,71,Greed
2025-01-13,79,Extreme Greed
2025-01-14,75,Extreme Greed
2025-01-15,71,Greed
2025-01-16,68,Greed
2025-01-17,59,Greed
2025-01-18,57,Greed
2025-01-19,53,Neutral
2025-01-20,54,Neutral
2025-01-21,55,Greed
2025-01-22,63,Greed
2025-01-23,66,Greed
2025-01-24,63,Greed
2025-01-25,59,Greed
2025-01-26,61,Greed
2025-01-27,55,Greed
2025-01-28,62,Greed
2025-01-29,67,Greed
2025-01-30,64,Greed
2025-01-31,57,Greed
2025-02-01,62,Greed
2025-02-02,62,Greed
2025-02-03,66,Greed
