account,symbol,execution_price,size,side,time,start_position,event,closedPnL,leverage
0x0000000000000000000000000000000000000003,ETH,2422.898,1.2079,BUY,2024-01-05 19:27:00,2.4674,OPEN,0.0,4
0x0000000000000000000000000000000000000025,DOGE,0.0806,2.7623,SELL,2024-01-05 04:19:00,-0.0744,CLOSE,0.75,4
0x000000000000000000000000000000000000001a,DOGE,0.0812,1.4965,BUY,2024-01-05 06:30:00,0.2787,OPEN,0.0,3
0x0000000000000000000000000000000000000017,ARB,1.2109,0.5346,SELL,2024-01-05 04:46:00,1.2885,OPEN,0.0,5
0x0000000000000000000000000000000000000016,ETH,2407.2201,2.5547,BUY,2024-01-05 00:00:00,0.8985,CLOSE,55.71,5
0x0000000000000000000000000000000000000013,DOGE,0.0805,0.6669,SELL,2024-01-05 12:30:00,0.8438,CLOSE,21.15,4
0x000000000000000000000000000000000000000b,ARB,1.2285,0.3779,SELL,2024-01-05 14:00:00,-0.3461,OPEN,0.0,6
0x000000000000000000000000000000000000000c,ETH,2400.7478,4.7105,BUY,2024-01-05 13:09:00,-2.377,CLOSE,-784.57,4
0x0000000000000000000000000000000000000002,BTC,45280.8715,0.233,BUY,2024-01-05 20:59:00,1.8333,CLOSE,4.58,7
0x000000000000000000000000000000000000000f,BTC,44856.228,0.6671,SELL,2024-01-05 15:41:00,0.3598,LIQUIDATION,-44.33,4
0x0000000000000000000000000000000000000024,ETH,2466.8161,0.5071,SELL,2024-01-05 12:30:00,-0.4493,OPEN,0.0,3
0x0000000000000000000000000000000000000007,BTC,44870.5388,4.2864,SELL,2024-01-05 08:25:00,0.495,OPEN,0.0,4
0x0000000000000000000000000000000000000009,ETH,2508.0218,0.3706,SELL,2024-01-05 03:09:00,-1.3858,OPEN,0.0,6
0x0000000000000000000000000000000000000021,ETH,2430.4213,2.7089,BUY,2024-01-05 06:31:00,0.0876,OPEN,0.0,2
0x000000000000000000000000000000000000000b,ETH,2392.9439,1.483,BUY,2024-01-05 06:40:00,5.1594,OPEN,0.0,5
0x000000000000000000000000000000000000000b,ARB,1.2137,11.6357,SELL,2024-01-05 05:40:00,-1.1634,OPEN,0.0,2
0x0000000000000000000000000000000000000027,ARB,1.1756,2.1827,BUY,2024-01-05 19:07:00,3.3451,CLOSE,-258.59,6
0x0000000000000000000000000000000000000016,ARB,1.2101,3.1472,SELL,2024-01-05 16:15:00,3.1669,LIQUIDATION,-370.28,3
0x0000000000000000000000000000000000000010,DOGE,0.0795,1.7997,BUY,2024-01-06 06:31:00,1.5602,OPEN,0.0,4
0x0000000000000000000000000000000000000021,DOGE,0.0795,1.0107,SELL,2024-01-06 22:25:00,0.0783,CLOSE,111.99,4
0x0000000000000000000000000000000000000004,ETH,2417.5344,8.8683,BUY,2024-01-06 09:29:00,2.9523,OPEN,0.0,5
0x000000000000000000000000000000000000000e,SOL,102.1672,0.856,SELL,2024-01-06 01:34:00,1.9621,OPEN,0.0,1
0x0000000000000000000000000000000000000012,ARB,1.1946,2.0899,SELL,2024-01-06 20:33:00,-0.6104,CLOSE,-165.54,7
0x0000000000000000000000000000000000000008,DOGE,0.0798,1.5181,SELL,2024-01-06 22:18:00,-0.4614,CLOSE,15.07,6
0x000000000000000000000000000000000000001f,SOL,98.6227,1.5293,BUY,2024-01-06 15:15:00,-0.6049,CLOSE,-65.87,5
0x0000000000000000000000000000000000000021,ARB,1.2105,6.8811,SELL,2024-01-06 02:06:00,1.9787,LIQUIDATION,-373.51,5
0x000000000000000000000000000000000000001b,ARB,1.2211,4.115,SELL,2024-01-06 21:37:00,-5.1821,CLOSE,-165.1,1
0x000000000000000000000000000000000000000f,DOGE,0.0807,0.3936,SELL,2024-01-06 16:59:00,-0.8703,CLOSE,-1.49,5
0x000000000000000000000000000000000000000b,DOGE,0.0794,3.2046,SELL,2024-01-06 08:00:00,0.5829,OPEN,0.0,7
0x0000000000000000000000000000000000000002,ARB,1.1825,1.4829,SELL,2024-01-06 23:44:00,1.8427,OPEN,0.0,6
0x0000000000000000000000000000000000000013,DOGE,0.079,1.5053,SELL,2024-01-06 16:04:00,0.1884,LIQUIDATION,-81.05,3
0x0000000000000000000000000000000000000014,DOGE,0.0784,0.335,SELL,2024-01-06 07:09:00,0.5651,OPEN,0.0,4
0x0000000000000000000000000000000000000026,ARB,1.183,3.4163,BUY,2024-01-06 03:13:00,2.6223,OPEN,0.0,3
0x0000000000000000000000000000000000000019,ETH,2469.8697,14.2838,BUY,2024-01-06 17:21:00,-2.0896,OPEN,0.0,5
0x000000000000000000000000000000000000001e,ARB,1.1528,1.122,BUY,2024-01-06 07:45:00,-2.4826,CLOSE,6.5,6
0x0000000000000000000000000000000000000028,ARB,1.2145,2.4389,SELL,2024-01-06 20:14:00,0.0606,OPEN,0.0,3
0x000000000000000000000000000000000000001b,ETH,2379.6384,0.5336,BUY,2024-01-06 04:46:00,0.4101,CLOSE,45.97,5
0x0000000000000000000000000000000000000008,BTC,46159.1842,0.9927,SELL,2024-01-07 19:35:00,-1.2196,CLOSE,100.99,5
0x0000000000000000000000000000000000000016,ETH,2439.6957,4.2946,SELL,2024-01-07 09:23:00,-2.5005,CLOSE,563.02,6
0x0000000000000000000000000000000000000023,ETH,2380.0227,0.3997,BUY,2024-01-07 23:23:00,-1.9868,CLOSE,25.88,5
0x0000000000000000000000000000000000000022,ETH,2399.6619,7.9637,BUY,2024-01-07 05:52:00,2.2318,OPEN,0.0,2
0x000000000000000000000000000000000000001f,ARB,1.1844,0.5569,SELL,2024-01-07 21:44:00,1.2353,CLOSE,-10.16,4
0x0000000000000000000000000000000000000021,BTC,45628.4249,1.0838,SELL,2024-01-07 12:42:00,-2.8216,CLOSE,29.19,6
0x000000000000000000000000000000000000001e,DOGE,0.0781,2.4298,SELL,2024-01-07 04:35:00,-0.3842,CLOSE,-14.11,5
0x0000000000000000000000000000000000000006,ETH,2466.744,1.1864,SELL,2024-01-07 23:43:00,-1.9986,OPEN,0.0,3
0x000000000000000000000000000000000000001e,ARB,1.1946,2.5621,BUY,2024-01-07 19:17:00,-1.0522,OPEN,0.0,5
0x0000000000000000000000000000000000000015,ARB,1.1997,3.9917,SELL,2024-01-07 19:23:00,-0.5627,OPEN,0.0,2
0x000000000000000000000000000000000000000f,DOGE,0.0809,7.4278,SELL,2024-01-07 20:11:00,-2.1469,CLOSE,-709.91,5
0x0000000000000000000000000000000000000021,ETH,2430.3822,0.9613,BUY,2024-01-07 05:45:00,0.759,OPEN,0.0,6
0x0000000000000000000000000000000000000006,ETH,2486.9522,2.6781,BUY,2024-01-07 06:21:00,-1.768,OPEN,0.0,4
0x000000000000000000000000000000000000000c,ARB,1.1845,0.6319,BUY,2024-01-07 08:39:00,1.0228,CLOSE,-14.43,5
0x0000000000000000000000000000000000000021,ETH,2361.4385,0.128,SELL,2024-01-08 04:20:00,-1.4146,CLOSE,13.78,4
0x0000000000000000000000000000000000000008,BTC,45043.8019,5.1978,BUY,2024-01-08 22:07:00,5.0873,OPEN,0.0,5
0x0000000000000000000000000000000000000025,ARB,1.2044,19.5902,SELL,2024-01-08 22:52:00,-2.1351,OPEN,0.0,6
0x0000000000000000000000000000000000000015,DOGE,0.0797,5.381,SELL,2024-01-08 19:33:00,2.3748,OPEN,0.0,2
0x000000000000000000000000000000000000001a,DOGE,0.0841,2.2823,BUY,2024-01-08 01:21:00,0.6084,OPEN,0.0,7
0x0000000000000000000000000000000000000003,ARB,1.189,1.1477,SELL,2024-01-08 21:16:00,4.0298,CLOSE,-97.98,6
0x0000000000000000000000000000000000000005,ARB,1.1883,2.3555,BUY,2024-01-08 19:59:00,1.0076,CLOSE,-159.82,2
0x0000000000000000000000000000000000000001,SOL,98.8098,0.3848,SELL,2024-01-08 05:58:00,1.4931,CLOSE,11.0,6
0x000000000000000000000000000000000000001b,SOL,97.3727,0.8227,BUY,2024-01-08 13:25:00,-0.0988,OPEN,0.0,5
0x0000000000000000000000000000000000000026,BTC,44727.332,3.1552,BUY,2024-01-08 13:10:00,-3.4004,LIQUIDATION,-400.02,9
0x0000000000000000000000000000000000000023,BTC,45475.4727,0.7507,BUY,2024-01-08 13:49:00,-3.252,CLOSE,13.44,9
0x0000000000000000000000000000000000000015,DOGE,0.0792,1.5283,BUY,2024-01-08 02:16:00,-3.0431,OPEN,0.0,3
0x0000000000000000000000000000000000000022,BTC,43370.9708,0.7222,SELL,2024-01-08 03:21:00,-3.2039,CLOSE,8.69,9
0x000000000000000000000000000000000000000c,DOGE,0.0802,3.1956,BUY,2024-01-08 07:18:00,-4.4155,CLOSE,-93.21,5
0x0000000000000000000000000000000000000001,BTC,44493.6479,25.3784,BUY,2024-01-08 00:25:00,0.5775,CLOSE,757.13,6
0x0000000000000000000000000000000000000027,DOGE,0.077,1.8928,BUY,2024-01-08 08:38:00,-4.3244,CLOSE,27.04,5
0x000000000000000000000000000000000000000d,SOL,99.2018,0.7532,SELL,2024-01-08 12:46:00,0.2936,LIQUIDATION,-62.25,7
0x0000000000000000000000000000000000000017,BTC,45736.7676,0.3883,BUY,2024-01-08 01:28:00,-1.6248,CLOSE,37.57,7
0x000000000000000000000000000000000000000a,ETH,2409.9228,4.0989,BUY,2024-01-08 16:40:00,0.2171,CLOSE,-350.45,5
0x0000000000000000000000000000000000000001,DOGE,0.0803,0.4804,BUY,2024-01-09 11:33:00,2.0012,OPEN,0.0,8
0x0000000000000000000000000000000000000020,SOL,98.6588,1.4033,BUY,2024-01-09 03:36:00,-0.5065,CLOSE,99.44,7
0x0000000000000000000000000000000000000001,BTC,43906.9866,1.7498,BUY,2024-01-09 10:48:00,-0.3227,OPEN,0.0,3
0x0000000000000000000000000000000000000026,DOGE,0.083,0.9469,SELL,2024-01-09 03:25:00,1.0926,OPEN,0.0,3
0x000000000000000000000000000000000000001b,SOL,100.0128,0.2396,SELL,2024-01-09 04:41:00,-1.7996,OPEN,0.0,3
0x0000000000000000000000000000000000000025,SOL,100.0286,1.9886,BUY,2024-01-09 12:21:00,5.2658,OPEN,0.0,3
0x0000000000000000000000000000000000000017,SOL,96.3888,0.6406,BUY,2024-01-09 11:10:00,-1.2417,OPEN,0.0,3
0x0000000000000000000000000000000000000027,ARB,1.2078,1.0731,BUY,2024-01-09 06:20:00,-0.3796,OPEN,0.0,5
0x0000000000000000000000000000000000000008,ARB,1.2346,0.2646,BUY,2024-01-09 13:57:00,-1.331,CLOSE,6.69,8
0x000000000000000000000000000000000000000c,BTC,45785.8525,1.6223,BUY,2024-01-09 10:56:00,-1.1913,CLOSE,60.42,5
0x0000000000000000000000000000000000000011,SOL,102.7489,6.9085,BUY,2024-01-09 16:32:00,-0.3898,LIQUIDATION,-490.17,5
0x0000000000000000000000000000000000000020,SOL,102.2675,3.3611,BUY,2024-01-09 10:02:00,3.9141,CLOSE,-770.47,3
0x000000000000000000000000000000000000000a,ETH,2388.4121,6.5173,SELL,2024-01-09 18:49:00,-1.0631,OPEN,0.0,4
0x0000000000000000000000000000000000000008,ETH,2458.0448,0.293,BUY,2024-01-09 02:01:00,0.3612,OPEN,0.0,2
0x0000000000000000000000000000000000000028,BTC,45130.7148,0.2303,SELL,2024-01-09 12:44:00,-3.2651,OPEN,0.0,3
0x0000000000000000000000000000000000000020,ETH,2309.1065,2.1296,BUY,2024-01-09 14:30:00,-1.4191,LIQUIDATION,-121.19,5
0x0000000000000000000000000000000000000022,SOL,99.0615,0.7137,SELL,2024-01-09 20:12:00,0.3442,OPEN,0.0,2
0x0000000000000000000000000000000000000015,SOL,102.4053,0.7103,BUY,2024-01-09 20:23:00,1.1672,OPEN,0.0,9
0x0000000000000000000000000000000000000004,DOGE,0.08,0.1973,BUY,2024-01-10 16:57:00,2.2421,CLOSE,-11.8,4
0x000000000000000000000000000000000000001d,ETH,2384.2611,1.9862,SELL,2024-01-10 10:56:00,1.6502,OPEN,0.0,2
0x0000000000000000000000000000000000000001,SOL,98.2657,2.1153,BUY,2024-01-10 23:54:00,0.1567,CLOSE,192.06,7
0x000000000000000000000000000000000000000a,DOGE,0.0791,0.8221,BUY,2024-01-10 06:27:00,-0.007,CLOSE,-49.67,5
0x0000000000000000000000000000000000000023,ETH,2353.4398,0.896,SELL,2024-01-10 00:35:00,-0.2956,OPEN,0.0,8
0x0000000000000000000000000000000000000017,DOGE,0.0806,0.5585,BUY,2024-01-10 02:12:00,-0.6572,OPEN,0.0,6
0x000000000000000000000000000000000000000a,DOGE,0.081,0.4499,SELL,2024-01-10 05:16:00,1.5771,OPEN,0.0,6
0x000000000000000000000000000000000000000c,ARB,1.2339,0.8512,SELL,2024-01-10 09:58:00,2.1957,CLOSE,20.88,4
0x000000000000000000000000000000000000001e,BTC,43300.9576,0.6906,SELL,2024-01-10 03:46:00,1.182,OPEN,0.0,6
0x0000000000000000000000000000000000000009,SOL,103.9825,1.2613,SELL,2024-01-10 12:14:00,-1.4863,CLOSE,157.9,3
0x0000000000000000000000000000000000000017,ARB,1.1809,21.1518,SELL,2024-01-10 10:42:00,1.8069,CLOSE,859.57,9
0x0000000000000000000000000000000000000001,BTC,45054.548,1.2025,BUY,2024-01-10 17:37:00,-2.1782,LIQUIDATION,-229.51,4
0x000000000000000000000000000000000000001b,ETH,2392.5206,3.6168,BUY,2024-01-10 12:42:00,0.3693,OPEN,0.0,7
0x0000000000000000000000000000000000000021,BTC,42861.9006,3.3801,SELL,2024-01-10 11:10:00,1.247,LIQUIDATION,-197.67,5
0x0000000000000000000000000000000000000025,BTC,45170.7356,0.745,SELL,2024-01-10 14:29:00,-0.3818,CLOSE,112.01,10
0x0000000000000000000000000000000000000001,SOL,100.612,5.8451,BUY,2024-01-10 22:07:00,0.9372,CLOSE,-194.03,6
0x000000000000000000000000000000000000001b,DOGE,0.0834,1.2258,BUY,2024-01-10 20:29:00,-2.6882,OPEN,0.0,3
0x0000000000000000000000000000000000000012,DOGE,0.0774,0.1812,SELL,2024-01-11 08:40:00,3.2203,OPEN,0.0,6
0x0000000000000000000000000000000000000005,ETH,2380.4623,3.7569,BUY,2024-01-11 06:25:00,1.5585,OPEN,0.0,7
0x0000000000000000000000000000000000000028,DOGE,0.0795,0.3005,BUY,2024-01-11 14:34:00,-2.7622,CLOSE,6.94,4
0x0000000000000000000000000000000000000025,BTC,46246.634,4.8517,BUY,2024-01-11 19:22:00,1.4892,OPEN,0.0,5
0x0000000000000000000000000000000000000005,DOGE,0.079,1.9362,SELL,2024-01-11 18:21:00,-0.4402,CLOSE,7.27,4
0x0000000000000000000000000000000000000004,ARB,1.2292,4.4135,SELL,2024-01-11 21:35:00,1.5668,OPEN,0.0,7
0x0000000000000000000000000000000000000027,DOGE,0.0796,0.804,SELL,2024-01-11 19:46:00,1.3009,CLOSE,19.53,7
0x0000000000000000000000000000000000000019,SOL,96.9938,3.8794,BUY,2024-01-11 06:56:00,-0.5489,CLOSE,321.26,4
0x0000000000000000000000000000000000000011,ETH,2410.5783,1.0599,BUY,2024-01-11 16:11:00,-0.9195,OPEN,0.0,3
0x0000000000000000000000000000000000000001,BTC,42808.4427,1.9599,BUY,2024-01-11 13:57:00,0.5997,CLOSE,-50.82,2
0x0000000000000000000000000000000000000021,ETH,2402.5882,55.0382,BUY,2024-01-11 19:30:00,0.8411,OPEN,0.0,6
0x0000000000000000000000000000000000000004,ARB,1.1927,1.6616,BUY,2024-01-11 19:15:00,2.7057,OPEN,0.0,6
0x0000000000000000000000000000000000000008,ARB,1.1759,0.4395,BUY,2024-01-11 15:40:00,1.864,CLOSE,-22.1,6
0x0000000000000000000000000000000000000013,DOGE,0.0809,1.3714,BUY,2024-01-11 17:09:00,-0.5885,OPEN,0.0,6
0x0000000000000000000000000000000000000008,ETH,2374.6542,1.2505,SELL,2024-01-11 15:01:00,-0.1669,CLOSE,-84.96,6
0x0000000000000000000000000000000000000018,ETH,2330.417,0.6934,SELL,2024-01-11 14:01:00,3.3469,LIQUIDATION,-48.64,4
0x000000000000000000000000000000000000001e,DOGE,0.0821,5.5245,SELL,2024-01-11 21:50:00,4.3107,CLOSE,-853.48,6
0x0000000000000000000000000000000000000015,SOL,98.0449,5.7938,SELL,2024-01-11 03:18:00,-3.0622,CLOSE,576.87,2
0x0000000000000000000000000000000000000001,ETH,2424.6842,9.1098,SELL,2024-01-11 08:26:00,0.5218,CLOSE,563.08,6
0x000000000000000000000000000000000000001a,SOL,100.5943,17.4338,SELL,2024-01-11 19:46:00,1.0796,OPEN,0.0,5
0x0000000000000000000000000000000000000003,ETH,2419.5781,2.8378,BUY,2024-01-12 08:05:00,-1.2391,CLOSE,-24.98,8
0x0000000000000000000000000000000000000019,BTC,45273.4367,3.9192,SELL,2024-01-12 04:14:00,3.985,OPEN,0.0,6
0x000000000000000000000000000000000000001c,ETH,2363.2005,2.8826,SELL,2024-01-12 02:13:00,-1.3619,CLOSE,326.97,5
0x0000000000000000000000000000000000000026,ETH,2356.7145,1.1797,BUY,2024-01-12 20:49:00,-0.5595,OPEN,0.0,2
0x0000000000000000000000000000000000000007,SOL,102.7188,1.2374,BUY,2024-01-12 09:22:00,1.5595,CLOSE,-2.88,1
0x0000000000000000000000000000000000000019,DOGE,0.0808,3.1795,BUY,2024-01-12 18:44:00,-0.4596,OPEN,0.0,6
0x0000000000000000000000000000000000000023,BTC,44233.7342,1.1173,SELL,2024-01-12 22:12:00,-0.7345,CLOSE,78.47,3
0x0000000000000000000000000000000000000020,ARB,1.1559,11.1766,BUY,2024-01-12 18:13:00,3.1445,CLOSE,-350.1,6
0x000000000000000000000000000000000000000a,ARB,1.1861,30.3276,BUY,2024-01-12 21:18:00,0.8659,OPEN,0.0,2
0x000000000000000000000000000000000000000f,ARB,1.1498,8.9836,SELL,2024-01-12 21:00:00,0.0068,CLOSE,-1840.38,5
0x0000000000000000000000000000000000000022,DOGE,0.0799,16.7388,SELL,2024-01-12 06:52:00,1.4319,LIQUIDATION,-2400.34,6
0x0000000000000000000000000000000000000001,BTC,44958.8698,0.6584,SELL,2024-01-12 00:28:00,3.5172,CLOSE,18.73,5
0x0000000000000000000000000000000000000016,BTC,45239.6554,0.1882,BUY,2024-01-12 17:50:00,3.5152,OPEN,0.0,5
0x0000000000000000000000000000000000000002,ARB,1.1742,0.7961,BUY,2024-01-12 22:03:00,-2.5086,CLOSE,18.23,7
0x000000000000000000000000000000000000000b,ETH,2329.3964,1.2831,BUY,2024-01-12 14:47:00,1.1976,CLOSE,224.3,1
0x0000000000000000000000000000000000000019,ARB,1.216,7.0137,SELL,2024-01-12 18:43:00,5.5002,OPEN,0.0,4
0x000000000000000000000000000000000000001d,SOL,97.7017,0.2389,BUY,2024-01-12 20:21:00,0.8245,CLOSE,11.56,4
0x000000000000000000000000000000000000000c,ETH,2359.3136,0.7539,BUY,2024-01-12 11:10:00,-0.3135,CLOSE,55.83,3
0x000000000000000000000000000000000000000f,BTC,46040.2966,0.9949,SELL,2024-01-12 20:57:00,-1.7901,CLOSE,-87.6,7
0x000000000000000000000000000000000000000d,SOL,99.687,7.9247,SELL,2024-01-12 20:31:00,-0.5188,CLOSE,-1030.19,6
0x0000000000000000000000000000000000000023,DOGE,0.078,6.6699,SELL,2024-01-12 09:02:00,2.3228,OPEN,0.0,10
0x000000000000000000000000000000000000001b,SOL,98.3775,0.4867,BUY,2024-01-12 18:53:00,-0.4882,OPEN,0.0,2
0x000000000000000000000000000000000000000b,ARB,1.2058,2.9476,SELL,2024-01-12 09:18:00,-0.2564,OPEN,0.0,4
0x0000000000000000000000000000000000000019,ARB,1.2158,4.764,BUY,2024-01-12 04:50:00,2.7799,CLOSE,474.42,5
0x0000000000000000000000000000000000000015,ARB,1.1638,3.4925,SELL,2024-01-12 17:55:00,2.379,CLOSE,268.29,3
